Year,ACE,ACE_anom,shear,pos_shear,pos_shear_anom,HadISST,MEI,OHC_160,OHC_anom,OHC,Named_Storms,Named_Storm_Days,Hurricanes,Hurricane_Days,Major_Hurricanes,Major_Hurricane_Days
1980,149,43.43333333,7.621498333,-7.621498333,-1.6968618,28.16822333,0.284,2.03,2.578,4.24,11,62.25,9,38.25,2,7.25
1981,100,-5.566666667,6.320970667,-6.320970667,-0.396334133,28.04517,0.083,0.58,-0.762,0.9,12,66,7,22.5,3,3.75
1982,32,-73.56666667,8.565627333,-8.565627333,-2.6409908,27.65702667,1.888333333,0.87,-6.962,-5.3,6,18.5,2,5.75,1,1.25
1983,17,-88.56666667,10.18883063,-10.18883063,-4.2641941,27.90079,0.576333333,0.71,-1.962,-0.3,4,14.5,3,3.5,1,0.25
1984,84,-21.56666667,10.3627243,-10.3627243,-4.438087767,27.61461,-0.074,-1.98,-5.422,-3.76,13,63.25,5,18.25,1,0.75
1985,88,-17.56666667,7.7989667,-7.7989667,-1.874330167,27.79691667,-0.332333333,-0.53,-4.082,-2.42,11,51.25,7,21.25,3,4
1986,36,-69.56666667,10.12949633,-10.12949633,-4.2048598,27.72606667,0.960666667,-0.24,-3.802,-2.14,6,23.25,4,10.5,0,0
1987,34,-71.56666667,7.678718,-7.678718,-1.754081467,28.43218667,1.851666667,1.44,-2.602,-0.94,7,37.25,3,5,1,0.5
1988,103,-2.566666667,4.403597333,-4.403597333,1.5210392,27.98886,-1.370333333,-0.13,-5.782,-4.12,12,47,5,21.25,3,9.25
1989,135,29.43333333,5.976063,-5.976063,-0.051426467,28.08707333,-0.369,-0.51,-5.522,-3.86,11,65.75,7,31.75,2,9.75
1990,97,-8.566666667,4.233222333,-4.233222333,1.6914142,28.30454333,0.276,0.21,-7.152,-5.49,14,72.25,8,26.75,1,1
1991,36,-69.56666667,8.028878667,-8.028878667,-2.104242133,27.70316,0.939333333,0.28,-1.942,-0.28,8,24.25,4,8.25,2,1.25
1992,76,-29.56666667,7.402443333,-7.402443333,-1.4778068,27.87884667,0.579666667,0.4,1.038,2.7,7,40.25,4,16,1,3.5
1993,39,-66.56666667,8.0753378,-8.0753378,-2.150701267,27.91362667,1.043333333,0.28,0.638,2.3,8,30,4,9.5,1,0.75
1994,32,-73.56666667,6.194338667,-6.194338667,-0.269702133,27.85226333,1.040333333,-0.7,-0.182,1.48,7,28.75,3,7.25,0,0
1995,227,121.4333333,2.895959333,-2.895959333,3.0286772,28.39131,-0.341,1.75,2.398,4.06,19,121.25,11,61.5,5,11.5
1996,166,60.43333333,5.742162,-5.742162,0.182474533,28.06445667,-0.377666667,-0.17,-0.952,0.71,13,79,9,45,6,13
1997,41,-64.56666667,9.3267304,-9.3267304,-3.402093867,28.28453333,2.831666667,-0.67,-0.822,0.84,8,30,3,9.5,1,2.25
1998,182,76.43333333,4.275099667,-4.275099667,1.649536867,28.62840333,-0.572333333,1.79,3.418,5.08,14,88,10,48.5,3,9.5
1999,177,71.43333333,1.089375,-1.089375,4.835261533,28.36550333,-0.878333333,-0.65,0.098,1.76,12,78.5,8,41,5,14.25
2000,119,13.43333333,7.293669,-7.293669,-1.369032467,28.11346667,-0.242,-0.65,-1.922,-0.26,15,71.5,8,32.75,3,5
2001,110,4.433333333,6.056138,-6.056138,-0.131501467,28.35829,-0.024,0.37,0.878,2.54,15,68.75,9,25.5,4,4.25
2002,67,-38.56666667,8.2868216,-8.2868216,-2.362185067,28.13424333,0.982,0.1,2.338,4,12,57,4,10.75,2,3
2003,176,70.43333333,4.07094,-4.07094,1.853696533,28.67190667,0.445666667,1.02,4.798,6.46,16,81.5,7,32.75,3,16.75
2004,227,121.4333333,4.158601,-4.158601,1.766035533,28.60208,0.579333333,2.06,5.928,7.59,15,93,9,45.5,6,22.25
2005,245,139.4333333,2.533458667,-2.533458667,3.391177867,28.69369,0.174666667,2.65,8.788,10.45,28,126.25,15,49.75,7,17.5
2006,83,-22.56666667,4.162965333,-4.162965333,1.7616712,28.60199333,0.855,1.22,5.618,7.28,10,58,5,21.25,2,2
2007,74,-31.56666667,4.081539233,-4.081539233,1.8430973,28.14897,-0.939666667,1.6,5.388,7.05,15,37.75,6,12.25,2,6
2008,146,40.43333333,1.957867333,-1.957867333,3.9667692,28.53877667,-0.496333333,0.5,1.788,3.45,16,88.25,8,30.5,5,7.5
2009,53,-52.56666667,7.069894667,-7.069894667,-1.145258133,28.40869667,0.909,0.87,-0.712,0.95,9,30,3,12,2,3.5
2010,165,59.43333333,-0.621340333,0.621340333,6.545976867,28.87091667,-1.807,3.53,7.468,9.13,19,89.5,12,38.5,5,11
2011,126,20.43333333,2.949212333,-2.949212333,2.9754242,28.51001667,-0.728666667,3.05,3.018,4.68,19,89.75,7,26,4,4.5
2012,133,27.43333333,2.662214,-2.662214,3.262422533,28.60473333,0.353333333,0.85,2.418,4.08,19,101.25,10,28.5,2,0.5
2013,36,-69.56666667,5.311060667,-5.311060667,0.613575867,28.58948667,-0.153666667,1.56,3.648,5.31,14,42.25,2,3.25,0,0
2014,67,-38.56666667,6.438097333,-6.438097333,-0.5134608,28.36889667,0.664,0.79,2.088,3.75,8,35,6,17.75,2,3.75
2015,63,-42.56666667,7.321859333,-7.321859333,-1.3972228,28.60533667,2.379333333,0.68,2.638,4.3,11,43.5,4,12,2,4
2016,141,35.43333333,3.784313333,-3.784313333,2.1403232,28.54889,-0.094666667,1.88,6.858,8.52,15,81,7,27.75,4,10.25
2017,,,,,,,,,,,,,,,,
